target,index,model,tau,prediction,actual,pinball
eua_return,1007,L-ER,0.9,0.023111017420887947,-0.05199598893523216,0.007510700728744268
eua_return,1007,L-ER,0.95,0.03340619057416916,-0.05199598893523216,0.004270108882337809
eua_return,1007,ERNN,0.05,-0.0212843120098114,-0.05199598893523216,0.029176093637943268
eua_return,1007,ERNN,0.1,-0.03585650026798248,-0.05199598893523216,0.014525539241731167
eua_return,1007,ERNN,0.5,-0.0003535747528076172,-0.05199598893523216,0.025821207091212273
eua_return,1007,ERNN,0.9,0.014108806848526001,-0.05199598893523216,0.006610480137169361
eua_return,1007,ERNN,0.95,0.023677349090576172,-0.05199598893523216,0.003783667227253318
eua_return,1008,L-ER,0.05,-0.043382883071899414,-0.031202955171465874,0.0006089964299462736
eua_return,1008,L-ER,0.1,-0.032796185463666916,-0.031202955171465874,0.00015932302630972117
eua_return,1008,L-ER,0.5,-0.0008298796601593494,-0.031202955171465874,0.015186537988483906
eua_return,1008,L-ER,0.9,0.02248251996934414,-0.031202955171465874,0.005368547514081001
eua_return,1008,L-ER,0.95,0.02871210128068924,-0.031202955171465874,0.002995752962306142
eua_return,1008,ERNN,0.05,-0.03262576460838318,-0.031202955171465874,7.114047184586525e-05
eua_return,1008,ERNN,0.1,-0.031891509890556335,-0.031202955171465874,6.885547190904617e-05
eua_return,1008,ERNN,0.5,-0.009614422917366028,-0.031202955171465874,0.010794266127049923
eua_return,1008,ERNN,0.9,0.020104527473449707,-0.031202955171465874,0.005130748730152845
eua_return,1008,ERNN,0.95,0.02826899290084839,-0.031202955171465874,0.0029735974967479706
eua_return,1009,L-ER,0.05,-0.02376316487789154,0.03034609742462635,0.0027054629754275084
eua_return,1009,L-ER,0.1,-0.011001866310834885,0.03034609742462635,0.004134796559810638
eua_return,1009,L-ER,0.5,0.014506693929433823,0.03034609742462635,0.007919701747596264
eua_return,1009,L-ER,0.9,0.03651350364089012,0.03034609742462635,0.0006167406099848449
eua_return,1009,L-ER,0.95,0.04747004806995392,0.03034609742462635,0.0008561975555494428
eua_return,1009,ERNN,0.05,-0.021161288022994995,0.03034609742462635,0.002575369318947196
eua_return,1009,ERNN,0.1,-0.01768508553504944,0.03034609742462635,0.004803118295967579
eua_return,1009,ERNN,0.5,0.016922444105148315,0.03034609742462635,0.0067118266597390175
eua_return,1009,ERNN,0.9,0.031531304121017456,0.03034609742462635,0.00011852067109430209
eua_return,1009,ERNN,0.95,0.03871333599090576,0.03034609742462635,0.00041836194577626884
eua_return,1010,L-ER,0.05,-0.0449947863817215,0.013280075043439865,0.0029137430246919394
eua_return,1010,L-ER,0.1,-0.03508981689810753,0.013280075043439865,0.004836989101022482
eua_return,1010,L-ER,0.5,-0.0044741504825651646,0.013280075043439865,0.008877112530171871
eua_return,1010,L-ER,0.9,0.02271486632525921,0.013280075043439865,0.0009434791281819344
eua_return,1010,L-ER,0.95,0.029855288565158844,0.013280075043439865,0.0008287606760859489
eua_return,1010,ERNN,0.05,-0.03613543510437012,0.013280075043439865,0.002470775507390499
eua_return,1010,ERNN,0.1,-0.03343223035335541,0.013280075043439865,0.00467123044654727
eua_return,1010,ERNN,0.5,0.0006666630506515503,0.013280075043439865,0.006306705996394157
eua_return,1010,ERNN,0.9,0.022989369928836823,0.013280075043439865,0.0009709295118227601
eua_return,1010,ERNN,0.95,0.030467689037322998,0.013280075043439865,0.0008593806996941566
eua_return,1011,L-ER,0.05,-0.016711344942450523,-0.0023674548137933016,0.0007171945180743933
eua_return,1011,L-ER,0.1,-0.01079714484512806,-0.0023674548137933016,0.0008429690496996045
eua_return,1011,L-ER,0.5,0.008721558377146721,-0.0023674548137933016,0.005544506479054689
eua_return,1011,L-ER,0.9,0.030347120016813278,-0.0023674548137933016,0.0032714575063437223
eua_return,1011,L-ER,0.95,0.03776431083679199,-0.0023674548137933016,0.0020065882708877325
eua_return,1011,ERNN,0.05,-0.01545974612236023,-0.0023674548137933016,0.0006546145887114108
eua_return,1011,ERNN,0.1,-0.015109479427337646,-0.0023674548137933016,0.0012742024846374989
eua_return,1011,ERNN,0.5,0.010626330971717834,-0.0023674548137933016,0.006496892776340246
eua_return,1011,ERNN,0.9,0.02883647382259369,-0.0023674548137933016,0.0031203930266201496
eua_return,1011,ERNN,0.95,0.03672057390213013,-0.0023674548137933016,0.001954401610419154
eua_return,1012,L-ER,0.05,-0.015787282958626747,0.04691120237112045,0.0031349242199212313
eua_return,1012,L-ER,0.1,-0.008296430110931396,0.04691120237112045,0.005520763341337442
eua_return,1012,L-ER,0.5,0.009448949247598648,0.04691120237112045,0.018731126561760902
eua_return,1012,L-ER,0.9,0.029274670407176018,0.04691120237112045,0.015872878953814507
eua_return,1012,L-ER,0.95,0.03781912848353386,0.04691120237112045,0.008637470193207264
eua_return,1012,ERNN,0.05,-0.014035075902938843,0.04691120237112045,0.0030473140068352222
eua_return,1012,ERNN,0.1,-0.011219829320907593,0.04691120237112045,0.0058131031692028046
eua_return,1012,ERNN,0.5,0.00885947048664093,0.04691120237112045,0.01902586594223976
eua_return,1012,ERNN,0.9,0.02697513997554779,0.04691120237112045,0.017942456528544426
eua_return,1012,ERNN,0.95,0.03873428702354431,0.04691120237112045,0.007768069393932819
eua_return,1013,L-ER,0.05,-0.015661168843507767,0.010656032711267471,0.001315860077738762
eua_return,1013,L-ER,0.1,-0.012065446004271507,0.010656032711267471,0.0022721479181200266
eua_return,1013,L-ER,0.5,0.0008742515929043293,0.010656032711267471,0.004890890792012215
eua_return,1013,L-ER,0.9,0.020853037014603615,0.010656032711267471,0.0010197004303336143
eua_return,1013,L-ER,0.95,0.029132254421710968,0.010656032711267471,0.0009238111088052392
eua_return,1013,ERNN,0.05,-0.014889508485794067,0.010656032711267471,0.00127727712970227
