direction,target,tau,model,pred_mean,pinball_loss,expectile_loss,quantile_r_squared,expectile_r_squared,rmse,mae,elapsed_seconds
碳+股 -> 股材料,msci_materials_return,0.1,L-ER,-0.009852319955825806,0.001583402045071125,2.537758336647149e-05,0.07590383291244507,0.08880110267902519,0.013634255155920982,0.0112033411860466,0.17970585823059082
碳+股 -> 股材料,msci_materials_return,0.1,QRNN,-0.01259344257414341,0.001653699204325676,3.1364548562481186e-05,0.03487735986709595,-0.12616483817216628,0.015775389969348907,0.013536832295358181,0.5580039024353027
碳+股 -> 股材料,msci_materials_return,0.1,QRF,-0.012925693805295008,0.0016279160164623236,3.058582967073459e-05,0.049924812185107914,-0.09820442187736744,0.016159599607807287,0.013751068202116494,0.46921706199645996
碳+股 -> 股材料,msci_materials_return,0.1,Q-GBM,-0.011756987222175368,0.0016040259617641729,2.8637996764707814e-05,0.06386739151642862,-0.028266194485627727,0.014963192445048063,0.01276832282622448,1.3389780521392822
碳+股 -> 股材料,msci_materials_return,0.1,ERNN,-0.01074478030204773,0.0016400536987930536,2.8181104501232297e-05,0.04284107685089111,-0.011861175904409604,0.014275198802351952,0.012030611746013165,0.5277042388916016
碳+股 -> 股材料,msci_materials_return,0.25,L-ER,-0.004576070699840784,0.0027246298268437386,3.535391444194649e-05,0.024300217628479004,0.06420214473697605,0.0101207559928298,0.007833970710635185,0.17952609062194824
碳+股 -> 股材料,msci_materials_return,0.25,QRNN,-0.005187327973544598,0.0027094935066998005,3.661758395700784e-05,0.029720604419708252,0.030753536835367745,0.0106204804033041,0.008109327405691147,0.5836780071258545
碳+股 -> 股材料,msci_materials_return,0.25,QRF,-0.0056694374491250785,0.002747378468603405,3.7459471828537254e-05,0.016153833448267374,0.008469247330655127,0.010824563596462469,0.008426151364866751,0.4699990749359131
碳+股 -> 股材料,msci_materials_return,0.25,Q-GBM,-0.005073193066582036,0.002727496769789874,3.567544949538008e-05,0.02327354170315965,0.055691296132386214,0.01032605330550733,0.008088265775968169,1.371460199356079
碳+股 -> 股材料,msci_materials_return,0.25,ERNN,-0.004277563653886318,0.0027643684297800064,3.6169488774512657e-05,0.010069668292999268,0.04261435952930881,0.010105658322572708,0.007764194626361132,0.3717641830444336
碳+股 -> 股材料,msci_materials_return,0.5,L-ER,0.00019983496167697012,0.0033593971747905016,3.971356777699884e-05,0.0013243556022644043,0.03791906325887284,0.008912189863622189,0.006718794349581003,0.18309473991394043
碳+股 -> 股材料,msci_materials_return,0.5,QRNN,0.00035372626734897494,0.0032838545739650726,3.7818909490035654e-05,0.023781538009643555,0.08381810284558089,0.008697000332176685,0.006567709147930145,0.5711879730224609
